Entity,Code,Year,Renewables (% growth),Annual CO2 emissions
Africa,,1966,11.538,221261615
Africa,,1967,4.388,237257662
Africa,,1968,16.971,257600231
Africa,,1969,16.699,278139487
Africa,,1970,25.02,302942683
Africa,,1971,-5.259,332205529
Africa,,1972,13.832,352242151
Africa,,1973,5.764,378426604
Africa,,1974,13.728,388872733
Africa,,1975,5.714,387838602
Africa,,1976,10.801,420868292
Africa,,1977,9.85,433857083
Africa,,1978,0.833,463281540
Africa,,1979,7.02,500008669
Africa,,1980,-2.507,536509759
Africa,,1981,3.9,549389371
Africa,,1982,0.062,572603068
Africa,,1983,-9.843,595441085
Africa,,1984,-1.656,650285298
Africa,,1985,11.168,666683905
Africa,,1986,4.195,690699782
Africa,,1987,-4.034,690794283
Africa,,1988,9.062,726048074
Africa,,1989,4.931,699220923
Africa,,1990,1.981,659294543
Africa,,1991,5.893,689025539
Africa,,1992,-4.484,668677085
Africa,,1993,-1.848,708858320
Africa,,1994,1.427,719622610
Africa,,1995,4.063,771994122
Africa,,1996,4.585,783254265
Africa,,1997,2.618,812903488
Africa,,1998,4.795,838022046
Africa,,1999,5.884,830397266
Africa,,2000,7.326,886561876
Africa,,2001,6.93,884168245
Africa,,2002,4.463,892574682
Africa,,2003,-2.757,967219666
Africa,,2004,5.283,1036685536
Africa,,2005,1.229,1057341604
Africa,,2006,3.665,1090194921
Africa,,2007,2.09,1132293212
Africa,,2008,1.637,1181391104
Africa,,2009,2.511,1191035249
Africa,,2010,7.663,1218023292
Africa,,2011,2.55,1258708905
Africa,,2012,0.397,1253144211
Africa,,2013,6.059,1260316387
Africa,,2014,7.128,1363499747
Africa,,2015,1.788,1322735077
Africa,,2016,-0.718,1356719492
Africa,,2017,7.71,1384372117
Africa,,2018,7.199,1385644894
Africa,,2019,8.978,1408478929
